song_id,song_title,original_folder,download_log_row,manifest_source_file,cpdl_source_title,cpdl_media_filename,cpdl_media_url,edition_license,editor,cpdl_number,posted_date,cpdl_work_page,rights_review_status
66,Contre raison trop m'as voulu (Anonymous),0497,497,0497.xml,Contre raison trop m'as voulu (Anonymous),Contre_raison_trop_m'as_voulu-Aninymus.mxl,https://www.cpdl.org/wiki/images/c/cc/Contre_raison_trop_m%27as_voulu-Aninymus.mxl,CPDL,André Vierendeels,26756,2012-07-12,https://www.cpdl.org/wiki/index.php/Contre_raison_trop_m'as_voulu_(Anonymous),redistributable_cpdl_terms
67,Of all the birds (John Bartlet),0501,501,0501.xml,Of all the birds (John Bartlet),Of_all_the_birds.mxl,https://www.cpdl.org/wiki/images/e/e5/Of_all_the_birds.mxl,CPDL,James Gibb,26066,2012-04-30,https://www.cpdl.org/wiki/index.php/Of_all_the_birds_(John_Bartlet),redistributable_cpdl_terms
68,Bench'l misero cor (Philippe Verdelot),0519,519,0519.xml,Bench'l misero cor (Philippe Verdelot),Benche'l_misero_cor_Verdelot.mxl,https://www.cpdl.org/wiki/images/9/9d/Benche%27l_misero_cor_Verdelot.mxl,CPDL,James Gibb,42790,2017-01-24,https://www.cpdl.org/wiki/index.php/Bench%C3%A8'l_misero_cor_(Philippe_Verdelot),redistributable_cpdl_terms
70,how sweet the answer echo makes,0617,617,0617.xml,Echoes (Arthur Sullivan),Echoes.mxl,https://www.cpdl.org/wiki/images/6/68/Echoes.mxl,CPDL,James Gibb,21979,2010-07-18,https://www.cpdl.org/wiki/index.php/Echoes_(Arthur_Sullivan),redistributable_cpdl_terms
72,Force sera si de brief (Thomas Crecquillon),0632,632,0632.xml,Force sera si de brief (Thomas Crecquillon),Crecquillon-Force_sera_si_de_brief.mxl,https://www.cpdl.org/wiki/images/6/62/Crecquillon-Force_sera_si_de_brief.mxl,CPDL,André Vierendeels,28772,2013-04-15,https://www.cpdl.org/wiki/index.php/Force_sera_si_de_brief_(Thomas_Crecquillon),redistributable_cpdl_terms
76,Mort et fortune (Nicolas Gombert),0655,655,0655.xml,Mort et fortune (Nicolas Gombert),Gombert-Mort_et_fortune.mxl,https://www.cpdl.org/wiki/images/c/c0/Gombert-Mort_et_fortune.mxl,CPDL,André Vierendeels,48368,2018-01-11,https://www.cpdl.org/wiki/index.php/Mort_et_fortune_(Nicolas_Gombert),redistributable_cpdl_terms
77,Ascendens Christus (Jacob Handl),0668,668,0668.xml,Ascendens Christus (Jacob Handl),Ascendens_Christus_Handl.mxl,https://www.cpdl.org/wiki/images/5/54/Ascendens_Christus_Handl.mxl,CPDL,James Gibb,26561,2012-06-21,https://www.cpdl.org/wiki/index.php/Ascendens_Christus_(Jacob_Handl),redistributable_cpdl_terms
79,Gloriosi principes (Giovanni Pierluigi da Palestrina),0681,681,0681.xml,Gloriosi principes (Giovanni Pierluigi da Palestrina),Palestrina-Gloriosi_Principes_TTTB.mxl,https://www.cpdl.org/wiki/images/2/2a/Palestrina-Gloriosi_Principes_TTTB.mxl,CPDL,Fabrizio Barchi,54041,2019-04-23,https://www.cpdl.org/wiki/index.php/Gloriosi_principes_(Giovanni_Pierluigi_da_Palestrina),redistributable_cpdl_terms
80,"Benedic, anima mea, Domino a 4 (Orlando di Lasso)",0752,752,0752.xml,"Benedic, anima mea, Domino a 4 (Orlando di Lasso)",Benedic_Anima_Mea.mxl,https://www.cpdl.org/wiki/images/2/2f/Benedic_Anima_Mea.mxl,CPDL,Brian Marble,30719,2013-12-05,"https://www.cpdl.org/wiki/index.php/Benedic_anima_mea,_Domino_a_4_(Orlando_di_Lasso)",redistributable_cpdl_terms
82,Belle commre (Decapella),0757,757,0757.xml,Belle commre (Decapella),Decapella-Belle_commère.mxl,https://www.cpdl.org/wiki/images/5/54/Decapella-Belle_comm%C3%A8re.mxl,CPDL,André Vierendeels,49530,2018-05-02,https://www.cpdl.org/wiki/index.php/Belle_comm%C3%A8re_(Decapella),redistributable_cpdl_terms
