song_id,song_title,original_folder,download_log_row,manifest_source_file,cpdl_source_title,cpdl_media_filename,cpdl_media_url,edition_license,editor,cpdl_number,posted_date,cpdl_work_page,rights_review_status
166,Amar un sol amante (Lodovico Agostini),2798,2798,2798.xml,Amar un sol amante (Lodovico Agostini),Agostini-Amar_un_sol_amante.mxl,https://www.cpdl.org/wiki/images/1/1a/Agostini-Amar_un_sol_amante.mxl,CPDL,Willem Verkaik,43142,2017-02-15,https://www.cpdl.org/wiki/index.php/Amar_un_sol_amante_(Lodovico_Agostini),redistributable_cpdl_terms
167,Amours ont chang (Mahier),3960,3960,3960.xml,Amours ont chang (Mahier),Mahier-Amours_ont_changé.mxl,https://www.cpdl.org/wiki/images/2/21/Mahier-Amours_ont_chang%C3%A9.mxl,CPDL,André Vierendeels,48381,2018-01-11,https://www.cpdl.org/wiki/index.php/Amours_ont_chang%C3%A9_(Mahier),redistributable_cpdl_terms
168,Ancor che col partire (Cipriano de Rore),3266,3266,3266.xml,Ancor che col partire (Cipriano de Rore),Ancor_che_col_partire_Rore.mxl,https://www.cpdl.org/wiki/images/7/79/Ancor_che_col_partire_Rore.mxl,CPDL,James Gibb,51232,2018-09-07,https://www.cpdl.org/wiki/index.php/Ancor_che_col_partire_(Cipriano_de_Rore),redistributable_cpdl_terms
169,Angelus ad pastores ait a 4 (Hans Leo Hassler),4425,4425,4425.xml,Angelus ad pastores ait a 4 (Hans Leo Hassler),Angelus_ad_pastores_ait_Hassler.mxl,https://www.cpdl.org/wiki/images/d/d8/Angelus_ad_pastores_ait_Hassler.mxl,Personal,Aristotle Aure Esguerra,51441,2018-10-06,https://www.cpdl.org/wiki/index.php/Angelus_ad_pastores_ait_a_4_(Hans_Leo_Hassler),permission_or_terms_review_required
170,Ashby (Oliver Holden),3143,3143,3143.xml,Ashby (Oliver Holden),AshbyHolden1803bpr.mxl,https://www.cpdl.org/wiki/images/3/3e/AshbyHolden1803bpr.mxl,Public Domain,Barry Johnston,36629,2015-08-27,https://www.cpdl.org/wiki/index.php/Ashby_(Oliver_Holden),public_domain_marker
171,Assouvy suys (Clment Janequin),2878,2878,2878.xml,Assouvy suys (Clment Janequin),Janequin-Assouvy_suys.mxl,https://www.cpdl.org/wiki/images/0/05/Janequin-Assouvy_suys.mxl,CPDL,André Vierendeels,49591,2018-05-09,https://www.cpdl.org/wiki/index.php/Assouvy_suys_(Cl%C3%A9ment_Janequin),redistributable_cpdl_terms
172,At Antioche there dyd remayne (Christopher Tye),2814,2814,2814.xml,At Antioche there dyd remayne (Christopher Tye),Tye-At_Antioche.mxl,https://www.cpdl.org/wiki/images/b/b5/Tye-At_Antioche.mxl,CPDL,André Vierendeels,42673,2017-01-16,https://www.cpdl.org/wiki/index.php/At_Antioche_there_dyd_remayne_(Christopher_Tye),redistributable_cpdl_terms
174,Au temps heureux (Jacques Arcadelt),4217,4217,4217.xml,Au temps heureux (Jacques Arcadelt),Au_temps_heureux_Arcadelt.mxl,https://www.cpdl.org/wiki/images/6/64/Au_temps_heureux_Arcadelt.mxl,CPDL,James Gibb,42783,2017-01-23,https://www.cpdl.org/wiki/index.php/Au_temps_heureux_(Jacques_Arcadelt),redistributable_cpdl_terms
175,Aus tiefer Not schrei ich zu dir(1) 4vv-1 (Michael Praetorius),4396,4396,4396.xml,Aus tiefer Not schrei ich zu dir(1) 4vv-1 (Michael Praetorius),"Praetorius-Aus_tiefer_Not_(mel.1,_4vv-1,_XLVI).mxl",https://www.cpdl.org/wiki/images/7/70/Praetorius-Aus_tiefer_Not_%28mel.1%2C_4vv-1%2C_XLVI%29.mxl,CPDL,Willem Verkaik,34701,2015-03-03,https://www.cpdl.org/wiki/index.php/Aus_tiefer_Not_schrei_ich_zu_dir(1)_4vv-1_(Michael_Praetorius),redistributable_cpdl_terms
176,Ave Maria (Arcadelt-Dietsch),2905,2905,2905.xml,Ave Maria (Arcadelt-Dietsch),Arcadelt_-_Ave_Maria.mxl,https://www.cpdl.org/wiki/images/e/ef/Arcadelt_-_Ave_Maria.mxl,CPDL,William Chimiak,54864,2019-07-23,https://www.cpdl.org/wiki/index.php/Ave_Maria_(Arcadelt-Dietsch),redistributable_cpdl_terms
177,"Ave Maria II, a 4 (Giovanni Pierluigi da Palestrina)",3008,3008,3008.xml,"Ave Maria II, a 4 (Giovanni Pierluigi da Palestrina)",Ave_Maria_II_Palestrina.mxl,https://www.cpdl.org/wiki/images/f/f7/Ave_Maria_II_Palestrina.mxl,CPDL,James Gibb,48558,2018-01-25,"https://www.cpdl.org/wiki/index.php/Ave_Maria_II,_a_4_(Giovanni_Pierluigi_da_Palestrina)",redistributable_cpdl_terms
182,Avec le jour (Orlando di Lasso),3640,3640,3640.xml,Avec le jour (Orlando di Lasso),Avec_le_jour.mxl,https://www.cpdl.org/wiki/images/d/d1/Avec_le_jour.mxl,CPDL,Paul R. Marchesano,21214,2010-03-13,https://www.cpdl.org/wiki/index.php/Avec_le_jour_(Orlando_di_Lasso),redistributable_cpdl_terms
183,Beati eritis (Giovanni Croce),3866,3866,3866.xml,Beati eritis (Giovanni Croce),Beati_eritis_Croce.mxl,https://www.cpdl.org/wiki/images/a/a6/Beati_eritis_Croce.mxl,Personal,Aristotle Aure Esguerra,50284,2018-06-23,https://www.cpdl.org/wiki/index.php/Beati_eritis_(Giovanni_Croce),permission_or_terms_review_required
184,Bedford (Ezra Goff),2637,2637,2637.xml,Bedford (Ezra Goff),BedfordGoff1806bprb.mxl,https://www.cpdl.org/wiki/images/e/ec/BedfordGoff1806bprb.mxl,Public Domain,Barry Johnston,35600,2015-05-30,https://www.cpdl.org/wiki/index.php/Bedford_(Ezra_Goff),public_domain_marker
186,Benedictus (Short Service) (Orlando Gibbons),3658,3658,3658.xml,Benedictus (Short Service) (Orlando Gibbons),Benedictus_Short_Gibbons.mxl,https://www.cpdl.org/wiki/images/f/fe/Benedictus_Short_Gibbons.mxl,CPDL,James Gibb,29839,2013-08-15,https://www.cpdl.org/wiki/index.php/Benedictus_(Short_Service)_(Orlando_Gibbons),redistributable_cpdl_terms
187,Benedictus Dominus Deus Israel (Antonio Lotti),3810,3810,3810.xml,Benedictus Dominus Deus Israel (Antonio Lotti),Benedictus_Lotti.mxl,https://www.cpdl.org/wiki/images/c/c6/Benedictus_Lotti.mxl,CPDL,James Gibb,48488,2018-01-20,https://www.cpdl.org/wiki/index.php/Benedictus_Dominus_Deus_Israel_(Antonio_Lotti),redistributable_cpdl_terms
190,Cantate Domino (Giuseppe Pitoni),3322,3322,3322.xml,Cantate Domino (Giuseppe Pitoni),Cantate_Domino_Pitoni.mxl,https://www.cpdl.org/wiki/images/0/0c/Cantate_Domino_Pitoni.mxl,Personal,Aristotle Aure Esguerra,50548,2018-07-17,https://www.cpdl.org/wiki/index.php/Cantate_Domino_(Giuseppe_Pitoni),permission_or_terms_review_required
191,Celle qui ma tant (Claudin de Sermisy),3487,3487,3487.xml,Celle qui ma tant (Claudin de Sermisy),Sermisy-Celle_qui_ma_tant.mxl,https://www.cpdl.org/wiki/images/5/5b/Sermisy-Celle_qui_ma_tant.mxl,CPDL,André Vierendeels,49598,2018-05-09,https://www.cpdl.org/wiki/index.php/Celle_qui_ma_tant_(Claudin_de_Sermisy),redistributable_cpdl_terms
192,Changing Seasons (Ananias Davisson),3641,3641,3641.xml,Changing Seasons (Ananias Davisson),ChangingSeasonsDavisson1820bpr.mxl,https://www.cpdl.org/wiki/images/3/3e/ChangingSeasonsDavisson1820bpr.mxl,Public Domain,Barry Johnston,47037,2017-10-27,https://www.cpdl.org/wiki/index.php/Changing_Seasons_(Ananias_Davisson),public_domain_marker
193,Christus factus est (Giuseppe Pitoni),3312,3312,3312.xml,Christus factus est (Giuseppe Pitoni),Christus_factus_est_Pitoni.mxl,https://www.cpdl.org/wiki/images/6/6c/Christus_factus_est_Pitoni.mxl,CPDL,James Gibb,27695,2012-12-03,https://www.cpdl.org/wiki/index.php/Christus_factus_est_(Giuseppe_Pitoni),redistributable_cpdl_terms
194,Christus factus est (Johann Ernst Eberlin),3215,3215,3215.xml,Christus factus est (Johann Ernst Eberlin),Eberlin_Christus.mxl,https://www.cpdl.org/wiki/images/e/e7/Eberlin_Christus.mxl,CPDL,Paul R. Marchesano,17144,2008-06-09,https://www.cpdl.org/wiki/index.php/Christus_factus_est_(Johann_Ernst_Eberlin),redistributable_cpdl_terms
195,"Christus factus est, WAB 11 (Anton Bruckner)",3773,3773,3773.xml,"Christus factus est, WAB 11 (Anton Bruckner)",Christus_factus_est_Bruckner.mxl,https://www.cpdl.org/wiki/images/7/7a/Christus_factus_est_Bruckner.mxl,CPDL,James Gibb,47991,2017-12-12,"https://www.cpdl.org/wiki/index.php/Christus_factus_est,_WAB_11_(Anton_Bruckner)",redistributable_cpdl_terms
196,Clamabat autem mulier channanea (Pedro de Escobar),2805,2805,2805.xml,Clamabat autem mulier channanea (Pedro de Escobar),Clamabat_autem_mulier_Escobar.mxl,https://www.cpdl.org/wiki/images/5/5d/Clamabat_autem_mulier_Escobar.mxl,CPDL,James Gibb,29272,2013-05-30,https://www.cpdl.org/wiki/index.php/Clamabat_autem_mulier_channanea_(Pedro_de_Escobar),redistributable_cpdl_terms
197,Crucem sanctam (Johann Michael Haydn),3401,3401,3401.xml,Crucem sanctam (Johann Michael Haydn),Crucem_sanctam_Haydn_M.mxl,https://www.cpdl.org/wiki/images/4/47/Crucem_sanctam_Haydn_M.mxl,CPDL,James Gibb,48622,2018-01-31,https://www.cpdl.org/wiki/index.php/Crucem_sanctam_(Johann_Michael_Haydn),redistributable_cpdl_terms
198,Cum luce prima Sabathi I (Andr Vierendeels),4369,4369,4369.xml,Cum luce prima Sabathi I (Andr Vierendeels),Vierendeels-Cum_luce_prima.mxl,https://www.cpdl.org/wiki/images/7/7a/Vierendeels-Cum_luce_prima.mxl,CPDL,André Vierendeels,22712,2010-11-26,https://www.cpdl.org/wiki/index.php/Cum_luce_prima_Sabathi_I_(Andr%C3%A9_Vierendeels),redistributable_cpdl_terms
199,De profundis clamavi (Christoph Willibald Gluck),3791,3791,3791.xml,De profundis clamavi (Christoph Willibald Gluck),De_profundis_-_Gluck.mxl,https://www.cpdl.org/wiki/images/6/6f/De_profundis_-_Gluck.mxl,CPDL,James Gibb,41779,2016-11-11,https://www.cpdl.org/wiki/index.php/De_profundis_clamavi_(Christoph_Willibald_Gluck),redistributable_cpdl_terms
200,"Deliver us, O Lord our God (Adrian Batten)",3834,3834,3834.xml,"Deliver us, O Lord our God (Adrian Batten)","Deliver_us,_O_Lord_our_God_Batten.mxl",https://www.cpdl.org/wiki/images/8/8c/Deliver_us%2C_O_Lord_our_God_Batten.mxl,CPDL,James Gibb,47916,2017-12-07,"https://www.cpdl.org/wiki/index.php/Deliver_us,_O_Lord_our_God_(Adrian_Batten)",redistributable_cpdl_terms
201,Dieu doint le boniour (Etienne Du Tertre),4262,4262,4262.xml,Dieu doint le boniour (Etienne Du Tertre),Du_Tertre-Dieu_doint_le_boniour.mxl,https://www.cpdl.org/wiki/images/6/6d/Du_Tertre-Dieu_doint_le_boniour.mxl,CPDL,André Vierendeels,49219,2018-03-29,https://www.cpdl.org/wiki/index.php/Dieu_doint_le_boniour_(Etienne_Du_Tertre),redistributable_cpdl_terms
202,"Dime, triste coran (Francisco de la Torre)",2961,2961,2961.xml,"Dime, triste coran (Francisco de la Torre)","Dime,_triste_coracon_Torre.mxl",https://www.cpdl.org/wiki/images/2/23/Dime%2C_triste_coracon_Torre.mxl,CPDL,James Gibb,44014,2017-04-12,"https://www.cpdl.org/wiki/index.php/Dime,_triste_cora%C3%A7%C3%B3n_(Francisco_de_la_Torre)",redistributable_cpdl_terms
203,"Domine, labia mea aperies (Orlando di Lasso)",4291,4291,4291.xml,"Domine, labia mea aperies (Orlando di Lasso)",Domine_labia_mea_Lasso.mxl,https://www.cpdl.org/wiki/images/e/ef/Domine_labia_mea_Lasso.mxl,CPDL,James Gibb,48762,2018-02-10,"https://www.cpdl.org/wiki/index.php/Domine,_labia_mea_aperies_(Orlando_di_Lasso)",redistributable_cpdl_terms
204,Dominion (Daniel Read),2578,2578,2578.xml,Dominion (Daniel Read),DominionRead1801bprb.mxl,https://www.cpdl.org/wiki/images/a/a6/DominionRead1801bprb.mxl,Public Domain,Barry Johnston,35476,2015-05-20,https://www.cpdl.org/wiki/index.php/Dominion_(Daniel_Read),public_domain_marker
205,Ecce quomodo moritur justus (Jacob Handl),4018,4018,4018.xml,Ecce quomodo moritur justus (Jacob Handl),Ecce_quomodo_moritur_justus_Handl.mxl,https://www.cpdl.org/wiki/images/6/6b/Ecce_quomodo_moritur_justus_Handl.mxl,CPDL,James Gibb,27812,2012-12-17,https://www.cpdl.org/wiki/index.php/Ecce_quomodo_moritur_justus_(Jacob_Handl),redistributable_cpdl_terms
207,Eheu sustulerunt (Thomas Morley),4201,4201,4201.xml,Eheu sustulerunt (Thomas Morley),Eheu_sustulerunt_Morley.mxl,https://www.cpdl.org/wiki/images/c/cb/Eheu_sustulerunt_Morley.mxl,CPDL,James Gibb,20830,2010-01-14,https://www.cpdl.org/wiki/index.php/Eheu_sustulerunt_(Thomas_Morley),redistributable_cpdl_terms
208,En contemplant vostre divinit (Jacques Du Buisson),3234,3234,3234.xml,En contemplant vostre divinit (Jacques Du Buisson),Du_Buisson-En_contemplant.mxl,https://www.cpdl.org/wiki/images/7/75/Du_Buisson-En_contemplant.mxl,CPDL,André Vierendeels,49928,2018-05-31,https://www.cpdl.org/wiki/index.php/En_contemplant_vostre_divinit%C3%A9_(Jacques_Du_Buisson),redistributable_cpdl_terms
209,En esperant (Claudin de Sermisy),2686,2686,2686.xml,En esperant (Claudin de Sermisy),Sermisy-En_esperant_en_ceste.mxl,https://www.cpdl.org/wiki/images/0/06/Sermisy-En_esperant_en_ceste.mxl,CPDL,André Vierendeels,49520,2018-05-02,https://www.cpdl.org/wiki/index.php/En_esperant_(Claudin_de_Sermisy),redistributable_cpdl_terms
210,Eram quasi agnus (Orlando di Lasso),3798,3798,3798.xml,Eram quasi agnus (Orlando di Lasso),Eram_quasi_agnus_innocens_Lasso.mxl,https://www.cpdl.org/wiki/images/0/0c/Eram_quasi_agnus_innocens_Lasso.mxl,CPDL,James Gibb,48881,2018-02-21,https://www.cpdl.org/wiki/index.php/Eram_quasi_agnus_(Orlando_di_Lasso),redistributable_cpdl_terms
212,Exaltabo te Domine (Alessandro Scarlatti),3900,3900,3900.xml,Exaltabo te Domine (Alessandro Scarlatti),Exaltabo_te_Domine_Scarlatti.mxl,https://www.cpdl.org/wiki/images/4/44/Exaltabo_te_Domine_Scarlatti.mxl,CPDL,James Gibb,26313,2012-05-26,https://www.cpdl.org/wiki/index.php/Exaltabo_te_Domine_(Alessandro_Scarlatti),redistributable_cpdl_terms
214,Exsurge Domine (Alessandro Scarlatti),4056,4056,4056.xml,Exsurge Domine (Alessandro Scarlatti),Exsurge_Domine_Scarlatti_JG.mxl,https://www.cpdl.org/wiki/images/0/0c/Exsurge_Domine_Scarlatti_JG.mxl,CPDL,James Gibb,44544,2017-05-15,https://www.cpdl.org/wiki/index.php/Exsurge_Domine_(Alessandro_Scarlatti),redistributable_cpdl_terms
215,Fantasiant Amor (Joan Brudieu),4165,4165,4165.xml,Fantasiant Amor (Joan Brudieu),Brudieu-Fantasiant_Amor.mxl,https://www.cpdl.org/wiki/images/2/24/Brudieu-Fantasiant_Amor.mxl,CPDL,Willem Verkaik,30802,2013-12-17,https://www.cpdl.org/wiki/index.php/Fantasiant_Amor_(Joan_Brudieu),redistributable_cpdl_terms
216,Filiae Jerusalem (Andrea Gabrieli),3457,3457,3457.xml,Filiae Jerusalem (Andrea Gabrieli),Filiae_Ierusalem_original.mxl,https://www.cpdl.org/wiki/images/c/c7/Filiae_Ierusalem_original.mxl,CPDL,James Gibb,26477,2012-06-11,https://www.cpdl.org/wiki/index.php/Filiae_Jerusalem_(Andrea_Gabrieli),redistributable_cpdl_terms
217,Gi l'hora  tarda (Gioseppe Caimo),3998,3998,3998.xml,Gi l'hora  tarda (Gioseppe Caimo),Cai-gia.mxl,https://www.cpdl.org/wiki/images/f/f6/Cai-gia.mxl,CPDL,André Vierendeels,20414,2009-10-27,https://www.cpdl.org/wiki/index.php/Gi%C3%A0_l'hora_%C3%A8_tarda_(Gioseppe_Caimo),redistributable_cpdl_terms
218,Gloria laus (Christopher Tye),3327,3327,3327.xml,Gloria laus (Christopher Tye),Gloria_laus_et_honor_Tye.mxl,https://www.cpdl.org/wiki/images/e/e4/Gloria_laus_et_honor_Tye.mxl,CPDL,James Gibb,47880,2017-12-04,https://www.cpdl.org/wiki/index.php/Gloria_laus_(Christopher_Tye),redistributable_cpdl_terms
219,"Gloria Patri, Z 105 (Henry Purcell)",3289,3289,3289.xml,"Gloria Patri, Z 105 (Henry Purcell)",Gloria_Patri_Purcell.mxl,https://www.cpdl.org/wiki/images/4/40/Gloria_Patri_Purcell.mxl,CPDL,James Gibb,33608,2014-12-07,"https://www.cpdl.org/wiki/index.php/Gloria_Patri,_Z_105_(Henry_Purcell)",redistributable_cpdl_terms
221,Greenwich (Daniel Read),4313,4313,4313.xml,Greenwich (Daniel Read),GreenwichRead1786bprb.mxl,https://www.cpdl.org/wiki/images/5/51/GreenwichRead1786bprb.mxl,Public Domain,Barry Johnston,35455,2015-05-18,https://www.cpdl.org/wiki/index.php/Greenwich_(Daniel_Read),public_domain_marker
222,"Hau hau, hau le boys! (Claudin de Sermisy)",4415,4415,4415.xml,"Hau hau, hau le boys! (Claudin de Sermisy)","Claudin-Hau,_hau,_hau_le_boys!.mxl",https://www.cpdl.org/wiki/images/c/cd/Claudin-Hau%2C_hau%2C_hau_le_boys%21.mxl,CPDL,Willem Verkaik,36645,2015-08-28,"https://www.cpdl.org/wiki/index.php/Hau_hau,_hau_le_boys!_(Claudin_de_Sermisy)",redistributable_cpdl_terms
223,Hic est vere martyr (Jacobus Clemens non Papa),4251,4251,4251.xml,Hic est vere martyr (Jacobus Clemens non Papa),Hic_est_vere_martyr_Clemens.mxl,https://www.cpdl.org/wiki/images/7/75/Hic_est_vere_martyr_Clemens.mxl,CPDL,James Gibb,48689,2018-02-04,https://www.cpdl.org/wiki/index.php/Hic_est_vere_martyr_(Jacobus_Clemens_non_Papa),redistributable_cpdl_terms
224,Hodie Paulus Apostolus (Luca Marenzio),3393,3393,3393.xml,Hodie Paulus Apostolus (Luca Marenzio),Hodie_Paulus_Apostolus.mxl,https://www.cpdl.org/wiki/images/a/a2/Hodie_Paulus_Apostolus.mxl,CPDL,James Gibb,26529,2012-06-18,https://www.cpdl.org/wiki/index.php/Hodie_Paulus_Apostolus_(Luca_Marenzio),redistributable_cpdl_terms
225,I heard a voice from heaven (Thomas Tomkins),3765,3765,3765.xml,I heard a voice from heaven (Thomas Tomkins),I_heard_a_voice_from_heaven_Tomkins.mxl,https://www.cpdl.org/wiki/images/9/90/I_heard_a_voice_from_heaven_Tomkins.mxl,CPDL,James Gibb,25382,2012-01-15,https://www.cpdl.org/wiki/index.php/I_heard_a_voice_from_heaven_(Thomas_Tomkins),redistributable_cpdl_terms
226,I vren (IV) (Ludvig Norman),3152,3152,3152.xml,I vren (IV) (Ludvig Norman),Norm_op_66_4_IV_I_våren.mxl,https://www.cpdl.org/wiki/images/0/0e/Norm_op_66_4_IV_I_v%C3%A5ren.mxl,CPDL,Per-Anders Aglert,26395,2012-06-03,https://www.cpdl.org/wiki/index.php/I_v%C3%A5ren_(IV)_(Ludvig_Norman),redistributable_cpdl_terms
228,Improperium exspectavit (Giovanni Giorgi),3731,3731,3731.xml,Improperium exspectavit (Giovanni Giorgi),Giorgi-improperium.mxl,https://www.cpdl.org/wiki/images/d/d4/Giorgi-improperium.mxl,CPDL,Paul R. Marchesano,16307,2008-03-07,https://www.cpdl.org/wiki/index.php/Improperium_exspectavit_(Giovanni_Giorgi),redistributable_cpdl_terms
229,In monte Oliveti (Antonio Maria Pacchioni),3590,3590,3590.xml,In monte Oliveti (Antonio Maria Pacchioni),In_monte_Oliveti_Pacchioni.mxl,https://www.cpdl.org/wiki/images/8/86/In_monte_Oliveti_Pacchioni.mxl,CPDL,James Gibb,49005,2018-03-11,https://www.cpdl.org/wiki/index.php/In_monte_Oliveti_(Antonio_Maria_Pacchioni),redistributable_cpdl_terms
230,In te Domine speravi (Josquin des Prez),3370,3370,3370.xml,In te Domine speravi (Josquin des Prez),"In_Te,_Domine,_speravi_Prez.mxl",https://www.cpdl.org/wiki/images/4/4e/In_Te%2C_Domine%2C_speravi_Prez.mxl,CPDL,James Gibb,48751,2018-02-09,https://www.cpdl.org/wiki/index.php/In_te_Domine_speravi_(Josquin_des_Prez),redistributable_cpdl_terms
231,Incipit lamentatio (Gregorio Allegri),2739,2739,2739.xml,Incipit lamentatio (Gregorio Allegri),Incipit_lamentatio_Allegri.mxl,https://www.cpdl.org/wiki/images/9/98/Incipit_lamentatio_Allegri.mxl,CPDL,James Gibb,49225,2018-03-29,https://www.cpdl.org/wiki/index.php/Incipit_lamentatio_(Gregorio_Allegri),redistributable_cpdl_terms
232,Io ti vorria contar (Orlando di Lasso),3815,3815,3815.xml,Io ti vorria contar (Orlando di Lasso),Io_ti_vorria_contar_Lassus.mxl,https://www.cpdl.org/wiki/images/6/6f/Io_ti_vorria_contar_Lassus.mxl,CPDL,James Gibb,43043,2017-02-09,https://www.cpdl.org/wiki/index.php/Io_ti_vorria_contar_(Orlando_di_Lasso),redistributable_cpdl_terms
233,J'ayme bien mon amy (double-canon) (Adrian Willaert),4189,4189,4189.xml,J'ayme bien mon amy (double-canon) (Adrian Willaert),J'aime_bien_mon_ami_Willaert.mxl,https://www.cpdl.org/wiki/images/9/9c/J%27aime_bien_mon_ami_Willaert.mxl,CPDL,James Gibb,43047,2017-02-09,https://www.cpdl.org/wiki/index.php/J'ayme_bien_mon_amy_(double-canon)_(Adrian_Willaert),redistributable_cpdl_terms
234,Je ne mange point de porc (Claudin de Sermisy),3226,3226,3226.xml,Je ne mange point de porc (Claudin de Sermisy),Je_ne_menge_Sermisy.mxl,https://www.cpdl.org/wiki/images/9/9b/Je_ne_menge_Sermisy.mxl,CPDL,James Gibb,43051,2017-02-09,https://www.cpdl.org/wiki/index.php/Je_ne_mange_point_de_porc_(Claudin_de_Sermisy),redistributable_cpdl_terms
235,Je suis  vous (Etienne Du Tertre),3301,3301,3301.xml,Je suis  vous (Etienne Du Tertre),Du_Tertre-Je_suys_à_vous.mxl,https://www.cpdl.org/wiki/images/1/18/Du_Tertre-Je_suys_%C3%A0_vous.mxl,CPDL,André Vierendeels,49710,2018-05-18,https://www.cpdl.org/wiki/index.php/Je_suis_%C3%A0_vous_(Etienne_Du_Tertre),redistributable_cpdl_terms
236,"Jesu, the very thought of thee (Edward Bairstow)",3758,3758,3758.xml,"Jesu, the very thought of thee (Edward Bairstow)","Jesu,_the_very_thought_of_thee_Bairstow.mxl",https://www.cpdl.org/wiki/images/9/91/Jesu%2C_the_very_thought_of_thee_Bairstow.mxl,CPDL,James Gibb,42475,2017-01-02,"https://www.cpdl.org/wiki/index.php/Jesu,_the_very_thought_of_thee_(Edward_Bairstow)",redistributable_cpdl_terms
237,Jubilate Deo (Adriano Banchieri),3478,3478,3478.xml,Jubilate Deo (Adriano Banchieri),Jubilate_Deo_Banchieri.mxl,https://www.cpdl.org/wiki/images/a/a8/Jubilate_Deo_Banchieri.mxl,CPDL,James Gibb,44603,2017-05-20,https://www.cpdl.org/wiki/index.php/Jubilate_Deo_(Adriano_Banchieri),redistributable_cpdl_terms
238,La grand' amour (Philippe de Monte),3207,3207,3207.xml,La grand' amour (Philippe de Monte),Monte-La_grand'_amour.mxl,https://www.cpdl.org/wiki/images/7/7f/Monte-La_grand%27_amour.mxl,CPDL,Willem Verkaik,33558,2014-12-02,https://www.cpdl.org/wiki/index.php/La_grand'_amour_(Philippe_de_Monte),redistributable_cpdl_terms
239,La meunire de Vernon (Clment Janequin),3575,3575,3575.xml,La meunire de Vernon (Clment Janequin),Jane-meu.mxl,https://www.cpdl.org/wiki/images/3/30/Jane-meu.mxl,CPDL,Jacques Mirou,19424,2009-05-06,https://www.cpdl.org/wiki/index.php/La_meuni%C3%A8re_de_Vernon_(Cl%C3%A9ment_Janequin),redistributable_cpdl_terms
240,Las si tu as plaisir (Etienne Du Tertre),2813,2813,2813.xml,Las si tu as plaisir (Etienne Du Tertre),"Du_Tertre-Las,_si_tu_as.mxl",https://www.cpdl.org/wiki/images/2/21/Du_Tertre-Las%2C_si_tu_as.mxl,CPDL,André Vierendeels,49801,2018-05-23,https://www.cpdl.org/wiki/index.php/Las_si_tu_as_plaisir_(Etienne_Du_Tertre),redistributable_cpdl_terms
241,Lauda Sion I (Andr Vierendeels),4341,4341,4341.xml,Lauda Sion I (Andr Vierendeels),Vierendeels-Lauda_Sion.mxl,https://www.cpdl.org/wiki/images/0/0e/Vierendeels-Lauda_Sion.mxl,CPDL,André Vierendeels,22679,2010-11-22,https://www.cpdl.org/wiki/index.php/Lauda_Sion_I_(Andr%C3%A9_Vierendeels),redistributable_cpdl_terms
242,Laudate Dominum in sanctis ejus (Antonio Lotti),2871,2871,2871.xml,Laudate Dominum in sanctis ejus (Antonio Lotti),Laudate_Dominum_Lotti.mxl,https://www.cpdl.org/wiki/images/d/d1/Laudate_Dominum_Lotti.mxl,CPDL,James Gibb,48552,2018-01-24,https://www.cpdl.org/wiki/index.php/Laudate_Dominum_in_sanctis_ejus_(Antonio_Lotti),redistributable_cpdl_terms
245,Le vray ami (Claudin de Sermisy),3966,3966,3966.xml,Le vray ami (Claudin de Sermisy),Sermisy-Le_vray_amy.mxl,https://www.cpdl.org/wiki/images/7/79/Sermisy-Le_vray_amy.mxl,CPDL,André Vierendeels,49462,2018-04-28,https://www.cpdl.org/wiki/index.php/Le_vray_ami_(Claudin_de_Sermisy),redistributable_cpdl_terms
246,"Lo, country sports (Thomas Weelkes)",3073,3073,3073.xml,"Lo, country sports (Thomas Weelkes)","Lo,_country_sports.mxl",https://www.cpdl.org/wiki/images/9/9f/Lo%2C_country_sports.mxl,CPDL,James Gibb,25289,2012-01-06,"https://www.cpdl.org/wiki/index.php/Lo,_country_sports_(Thomas_Weelkes)",redistributable_cpdl_terms
247,Lovsng (August Sderman),4427,4427,4427.xml,Lovsng (August Sderman),Soed-Lovsång.mxl,https://www.cpdl.org/wiki/images/a/a8/Soed-Lovs%C3%A5ng.mxl,Public Domain,Per-Anders Aglert,25759,2012-03-14,https://www.cpdl.org/wiki/index.php/Lovs%C3%A5ng_(August_S%C3%B6derman),public_domain_marker
248,Massachusetts (Amos Pilsbury),4414,4414,4414.xml,Massachusetts (Amos Pilsbury),MassachusettsPilsbury1799bpr.mxl,https://www.cpdl.org/wiki/images/6/66/MassachusettsPilsbury1799bpr.mxl,CPDL,Barry Johnston,48263,2018-01-01,https://www.cpdl.org/wiki/index.php/Massachusetts_(Amos_Pilsbury),redistributable_cpdl_terms
250,Memor esto verbi tui (Josquin des Prez),4435,4435,4435.xml,Memor esto verbi tui (Josquin des Prez),Memor_esto_verbi_tui_desPrez.mxl,https://www.cpdl.org/wiki/images/d/d2/Memor_esto_verbi_tui_desPrez.mxl,CPDL,Brian Marble,41408,2016-10-11,https://www.cpdl.org/wiki/index.php/Memor_esto_verbi_tui_(Josquin_des_Prez),redistributable_cpdl_terms
